Rank,Major,Degree Type,Early Career Pay,Mid Career Pay
177,Accounting,Bachelor's,"$48,400 ","$82,800 "
178,Biotechnology,Bachelor's,"$46,100 ","$82,500 "
179 (tie),Comparative Literature,Bachelor's,"$43,800 ","$82,400 "
179 (tie),Entrepreneurship,Bachelor's,"$48,000 ","$82,400 "
179 (tie),Film Studies,Bachelor's,"$40,200 ","$82,400 "
179 (tie),Hotel Management,Bachelor's,"$44,200 ","$82,400 "
179 (tie),Latin American Studies,Bachelor's,"$43,100 ","$82,400 "
179 (tie),Safety Management,Bachelor's,"$52,900 ","$82,400 "
185,Financial Management,Bachelor's,"$48,100 ","$82,300 "
186,Biological Sciences,Bachelor's,"$42,900 ","$82,100 "
187 (tie),Cinema Studies,Bachelor's,"$41,400 ","$82,000 "
187 (tie),Political Science,Bachelor's,"$44,600 ","$82,000 "
189,Organizational Psychology,Bachelor's,"$45,000 ","$81,800 "
190,Microbiology,Bachelor's,"$42,900 ","$81,400 "
191 (tie),Aeronautics,Bachelor's,"$47,200 ","$81,300 "
191 (tie),Fashion Design,Bachelor's,"$42,400 ","$81,300 "
193,Advertising & Marketing Communications,Bachelor's,"$42,800 ","$81,200 "
194,Math & Science,Bachelor's,"$49,500 ","$81,100 "
195,Retail Merchandising,Bachelor's,"$42,300 ","$81,000 "
196,Philosophy & Religion,Bachelor's,"$40,200 ","$80,900 "
197,Human Biology,Bachelor's,"$43,200 ","$80,700 "
198,Textile & Apparel Studies,Bachelor's,"$41,400 ","$80,600 "
199,Textile Design,Bachelor's,"$42,700 ","$80,500 "
200,Project Management,Bachelor's,"$51,300 ","$80,300 "
201,American Studies,Bachelor's,"$43,900 ","$79,900 "
202,Retail & Consumer Science,Bachelor's,"$46,000 ","$79,800 "
203,Environmental Design,Bachelor's,"$42,300 ","$79,600 "
204,Aviation Maintenance Technology,Bachelor's,"$45,400 ","$79,500 "
205,Pre-law,Bachelor's,"$42,500 ","$79,100 "
206,Biomedical Sciences,Bachelor's,"$41,000 ","$79,000 "
207,Cell & Molecular Biology,Bachelor's,"$43,200 ","$78,800 "
208 (tie),Business Marketing,Bachelor's,"$45,700 ","$78,700 "
208 (tie),Urban & Regional Planning,Bachelor's,"$44,000 ","$78,700 "
210,Biology & Chemistry,Bachelor's,"$42,200 ","$78,600 "
211,Industrial Psychology,Bachelor's,"$43,000 ","$78,500 "
212,Environmental Science,Bachelor's,"$43,800 ","$78,400 "
213,Marketing & Mass Communications,Bachelor's,"$41,600 ","$78,100 "
214,Construction Engineering Technology,Bachelor's,"$51,600 ","$78,000 "
